Taxon name,Phylum/Division,Class,Order,Family,,AphiaID,Match type,LSID,ScientificName,AphiaID_accepted,ScientificName_accepted
Astronesthes gemmifer,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127322,exact,urn:lsid:marinespecies.org:taxname:127322,Astronesthes gemmifer,127322,Astronesthes gemmifer
Astronesthes leucopogon,Chordata,Actinopterygii,Stomiiformes,Stomiidae,,127324,exact,urn:lsid:marinespecies.org:taxname:127324,Astronesthes leucopogon,127324,Astronesthes leucopogon
Auxis rochei,Chordata,Actinopterygii,Perciformes,Scombridae,,127015,exact,urn:lsid:marinespecies.org:taxname:127015,Auxis rochei,127015,Auxis rochei
Auxis thazard,Chordata,Actinopterygii,Perciformes,Scombridae,,127016,exact,urn:lsid:marinespecies.org:taxname:127016,Auxis thazard,127016,Auxis thazard
Aythya affinis,Chordata,Aves,Anseriformes,Anatidae,,159161,exact,urn:lsid:marinespecies.org:taxname:159161,Aythya affinis,159161,Aythya affinis
Aythya americana,Chordata,Aves,Anseriformes,Anatidae,,159162,exact,urn:lsid:marinespecies.org:taxname:159162,Aythya americana,159162,Aythya americana
Aythya collaris,Chordata,Aves,Anseriformes,Anatidae,,159163,exact,urn:lsid:marinespecies.org:taxname:159163,Aythya collaris,159163,Aythya collaris
Aythya fuligula,Chordata,Aves,Anseriformes,Anatidae,,159164,exact,urn:lsid:marinespecies.org:taxname:159164,Aythya fuligula,159164,Aythya fuligula
Aythya marila,Chordata,Aves,Anseriformes,Anatidae,,159172,exact,urn:lsid:marinespecies.org:taxname:159172,Aythya marila,159172,Aythya marila
Aythya valisineria,Chordata,Aves,Anseriformes,Anatidae,,159173,exact,urn:lsid:marinespecies.org:taxname:159173,Aythya valisineria,159173,Aythya valisineria
Bajacalifornia megalops,Chordata,Actinopterygii,Osmeriformes,Alepocephalidae,,126687,exact,urn:lsid:marinespecies.org:taxname:126687,Bajacalifornia megalops,126687,Bajacalifornia megalops
Balaenoptera acutorostrata,Chordata,Mammalia,Cetacea,Balaenopteridae,,137087,exact,urn:lsid:marinespecies.org:taxname:137087,Balaenoptera acutorostrata,137087,Balaenoptera acutorostrata
Balaenoptera borealis,Chordata,Mammalia,Cetacea,Balaenopteridae,,137088,exact,urn:lsid:marinespecies.org:taxname:137088,Balaenoptera borealis,137088,Balaenoptera borealis
Balaenoptera musculus,Chordata,Mammalia,Cetacea,Balaenopteridae,,137090,ambiguous,urn:lsid:marinespecies.org:taxname:137090,Balaenoptera musculus,137090,Balaenoptera musculus
Balaenoptera physalus,Chordata,Mammalia,Cetacea,Balaenopteridae,,137091,exact,urn:lsid:marinespecies.org:taxname:137091,Balaenoptera physalus,137091,Balaenoptera physalus
